120.0,180.47,318.24,1185.13,628.42,557.52,969.21,236.06,400.42,1111.82,887.04,901.54,1060.25,946.66,869.31,980.49,592.97,1256.03,1129.54,535.77,1297.92,905.57,425.39,914.43,796.8,556.71,655.0,389.94,318.24,672.73,874.15,356.91,1115.84,741.21,738.79,838.7,928.13
195.0,166.77,298.9,1091.67,508.37,547.05,928.93,211.08,389.14,962.77,867.7,872.53,974.05,970.83,818.55,729.13,521.26,1157.74,1083.62,563.16,1249.59,837.08,405.25,933.76,787.13,627.61,646.95,341.6,298.1,704.15,808.08,369.8,1183.52,763.77,742.02,898.32,870.12
90.0,171.61,326.29,1145.65,635.67,502.73,957.13,225.59,414.11,1167.41,920.07,910.4,1102.95,932.15,867.7,990.16,569.6,1281.81,1097.31,509.99,1282.62,883.81,428.61,903.15,780.69,578.47,681.59,364.97,290.04,648.56,848.36,347.24,1102.15,772.63,716.24,859.64,887.04
45.0,178.05,335.96,1108.59,620.36,514.82,970.02,251.37,463.26,1205.27,916.85,957.13,1117.46,1011.11,872.53,975.66,576.05,1392.99,1107.79,629.22,1394.6,925.71,439.09,977.27,760.55,576.86,728.32,371.41,293.26,668.7,788.75,348.85,1220.58,746.85,703.34,850.78,778.27
75.0,167.58,327.91,1148.07,617.94,523.68,969.21,219.14,427.0,1157.74,938.6,911.21,1077.98,902.34,873.34,972.44,567.99,1361.57,1095.7,526.1,1297.92,857.23,424.58,912.01,776.66,552.69,681.59,349.66,286.82,654.2,845.95,345.63,1117.46,746.85,713.01,869.31,861.25
150.0,159.52,279.57,1111.82,610.69,497.09,936.99,215.11,393.97,1091.67,862.06,883.81,1067.5,917.65,855.62,965.19,575.24,1241.53,1128.74,529.32,1277.78,873.34,413.31,924.9,806.47,567.99,652.59,360.94,306.96,672.73,845.14,373.02,1082.81,757.32,772.63,863.67,936.99
18.0,171.61,326.29,1130.35,569.6,513.21,957.93,225.59,445.53,1116.65,854.81,866.89,1073.95,983.72,941.02,901.54,530.93,1391.38,1086.84,631.64,1451.81,903.96,409.28,927.32,751.68,590.55,834.67,363.35,287.62,684.81,810.5,350.46,1240.72,704.96,678.37,788.75,765.38
60.0,174.83,333.54,1109.4,597.0,502.73,986.13,239.28,447.95,1161.77,920.87,943.43,1135.18,960.35,916.04,970.83,580.08,1382.52,1094.9,616.33,1413.94,911.21,448.75,1007.08,800.02,585.72,722.68,378.66,291.65,676.76,846.75,362.55,1230.25,748.46,704.96,854.0,833.06
165.0,165.97,281.18,1044.95,497.9,474.54,885.42,232.84,398.0,947.46,845.14,885.42,1065.09,1019.17,832.25,754.91,496.29,1206.08,1078.78,605.05,1259.25,849.98,396.39,939.4,786.33,636.47,672.73,363.35,307.76,704.15,854.0,400.42,1140.82,740.41,685.62,866.89,837.89
105.0,159.52,305.35,1120.68,617.94,518.04,970.83,218.33,421.36,1181.91,928.93,895.09,1093.29,919.26,845.95,1010.3,568.8,1231.05,1085.23,498.71,1312.43,861.25,413.31,912.82,787.13,505.15,601.83,367.38,295.68,634.06,817.75,345.63,1067.5,764.58,735.57,863.67,882.2
180.0,169.19,294.87,1058.64,538.99,535.77,905.57,216.72,395.58,998.22,853.2,903.15,1029.64,974.85,812.11,772.63,550.27,1254.42,1118.26,551.07,1240.72,822.58,409.28,903.15,775.85,600.22,651.78,344.02,290.04,705.76,843.53,373.83,1187.55,730.74,733.96,892.68,867.7
210.0,146.63,266.67,991.77,551.88,437.48,822.58,219.95,385.91,973.24,853.2,834.67,1007.89,961.96,872.53,815.33,543.82,1198.83,1110.21,592.16,1264.09,783.11,392.36,887.04,767.8,655.81,706.57,359.33,285.21,702.54,803.25,377.86,1199.63,763.77,746.85,875.76,896.7
30.0,181.27,355.3,1119.07,591.36,501.93,986.94,237.67,451.17,1140.01,894.29,923.29,1103.76,1043.34,913.62,912.82,535.77,1385.74,1116.65,605.05,1389.77,893.48,415.72,951.49,746.85,586.52,745.24,368.19,279.57,674.34,814.53,350.46,1213.33,722.68,673.54,806.47,824.19
0.0,171.61,329.52,1086.84,606.67,510.79,982.91,250.56,464.06,1112.62,903.15,953.1,1122.29,952.29,912.82,915.23,565.58,1407.5,1068.31,663.87,1471.95,862.87,418.14,928.93,717.85,582.5,832.25,371.41,278.76,647.75,767.8,351.27,1232.67,683.2,658.23,802.44,708.18
135.0,181.27,307.76,1127.93,632.45,562.35,990.16,223.17,398.8,1119.87,919.26,895.9,1082.01,977.27,849.17,970.02,576.86,1230.25,1098.12,541.41,1283.42,912.82,425.39,910.4,775.85,575.24,633.25,365.77,317.43,664.67,823.39,360.13,1051.39,766.99,754.91,862.06,901.54
