73,1336,1376,1205,1333,1421,1400,1330,1340,1343,1324,1357,1449,1461,1455,1491,1538,1568,1586,1656,1623,1642,1625,1640,1669,1677,1631,1729,1676,1664,1632,1671,1627,1671,1789,1675,162,37,130,569,283,311,211,132,243,659,877,372,759,831,713,516,473,137,413,354,470,286,137,138,517,273,526,794,395,347,723,404,486,708,360,337
441,41,125,598,241,311,205,125,212,600,863,356,715,711,581,464,395,145,397,314,422,268,132,128,527,238,441,850,397,378,753,453,443,727,370,320
429,40,121,555,239,300,211,118,208,546,849,376,725,678,632,522,391,137,395,299,430,246,126,144,510,286,469,857,408,401,763,484,469,676,388,384
469,46,133,607,264,298,223,130,223,587,889,406,740,746,666,531,438,152,419,334,466,273,159,152,520,327,482,894,476,425,793,464,485,705,417,427
472,53,150,649,280,321,229,136,242,618,897,392,753,762,695,553,441,153,437,338,500,285,159,161,533,325,515,910,485,446,814,495,524,736,433,441
487,52,143,619,284,315,214,138,243,631,928,420,769,812,710,561,491,167,432,323,469,287,149,141,525,344,561,938,489,447,827,505,533,765,449,459
495,56,148,650,291,339,235,145,250,642,937,418,781,798,669,547,469,155,411,314,471,301,173,163,533,359,587,922,512,432,804,515,531,775,465,468
496,54,152,653,279,336,233,144,241,616,943,435,773,767,662,550,471,159,413,298,457,294,168,158,497,364,588,914,503,434,817,501,538,804,457,466
491,55,153,631,280,339,229,141,238,609,931,425,775,760,677,543,405,157,408,260,406,291,149,157,493,360,571,922,504,431,803,486,534,834,451,486
495,56,157,639,289,349,226,140,237,622,944,446,777,799,719,558,461,150,415,290,455,282,160,158,491,351,590,946,512,441,833,476,568,841,455,494
498,58,171,675,316,350,241,144,254,654,957,424,768,799,745,570,481,163,417,293,475,289,159,151,488,314,569,938,491,427,811,455,489,743,420,462
429,38,137,637,274,321,224,117,233,644,963,409,757,728,671,515,409,172,388,242,457,255,138,155,447,229,485,868,449,412,730,350,388,649,357,507
434,41,143,629,304,331,234,116,238,656,934,389,733,721,770,551,443,177,385,221,450,259,149,159,445,237,524,879,493,434,744,415,447,664,425,548
437,40,155,661,249,325,223,95,251,648,929,393,763,691,791,548,413,162,391,219,498,276,154,147,435,245,571,908,487,413,737,390,499,698,435,501
441,43,172,675,233,334,223,96,244,615,894,405,725,727,777,578,398,169,392,224,512,272,152,140,427,294,605,918,505,413,742,342,478,703,453,510
449,44,175,681,278,367,223,95,253,644,906,422,741,709,795,585,455,180,412,224,509,271,149,162,428,269,602,893,503,457,764,357,462,706,435,534
454,45,167,698,285,351,219,99,263,666,953,436,762,737,832,597,465,175,408,232,489,276,145,157,412,261,623,931,516,452,731,389,508,730,457,547
